Indonesia,Simalungun
membungkus,manghopoli
membungkus,manghopoli 
membungkus,manuntum
membungkus,manuntum 
membungkus,punjut
membungkus dengan kain,punjut
membunuh,mamunuh
membunuh,mamunuh 
memburu,mamburu 
membusukkan,pamasikkon
membusung,mambusung 
meme,rohopan 
memedaskan,pasiakhon
memedaskan,pasiakhon 
memegang,manjolom
memegang kepala,parap
memelihara,"marpinahan 
"
memeluk,mandahop 
memeluk,manghopkop
memeluk,manghopkop 
memeluk,manrohop 
memeluk kuat,manotol 
memeluki,manghopkopi
memeluki berdekap,"dekap 
manghopkopi "
memenangkan,pamonanghon
memenangkan,"pamonanghon 
"
memendekkan,papondohkon
memendekkan,papondohkon 
memerah,manggerger 
memerahi,manggergeri
memerahkan,pagergerhon 
memerangkap,manirangkap
memerangkap,manirangkap 
memerangkap,manorhop 
memercik,manimbur
memercik,manimbur 
memeriksa kail,langei
memeriksa kail atau perangkap apakah sudah mengena atau belum,langei
memerintah,manitah
memerintah,manitah 
memerintahi,manitahi
memerintahi,manitahi 
memerintahkan,manitahkon 
memerkara,mamaharahon
memerkara,mamaharahon 
memesankan,manonahkon 
memetaki,manupaki
memetaki,"manupaki 
"
memetik,mamutei
memetik,mamutik 
memetik,manilpak 
memetik,manopak 
memetik,petik mamutei 
memetikkan,manopakhon
memetikkan,manopakhon 
memgungkus,mambalut
memijak,londas
memijak,mambansal 
memijak,mandege 
memijak,"manganjaki 
"
memijak padogei n pemijak,mandogei 
memijakkan,mandogeihon 
memijak-mijak rumput agar dapat dilalui,londas
memijat,mamisat 
memijat,mangalud 
memikul,manghallung
memikul,manghallung 
memikul,manghallungkon
memikul,manghallungkon 
memikul,marlanja  
memikulkan,manlanjahon
memikulkan memikul sesuatu untuk orang lain,manlanjahon 
memilih,manodoh
memilih,manodoh 
memilih bibit,adad
memiliki,magotong
memiliki,magotong 
memiliki pengelihatan,"marpangidah 
"
memimpikan,manipihon 
memimpin,mambobahon
memimpin,mambobahon 
memindahkan,"pabungkashon 
"
meminjam,manginjam 
meminjam uang,raih
meminjam: alih pensel si Butet si Butet meminjam pinsil,alih
meminta,edek
meminta,haldung
meminta,"indo 
"
meminta,"mamindo 
"
meminta,mangebeng 
meminta,mangindo 
meminta,mangindoi 
memintal,damar
memintal,mangidas
memintal,mangidas 
memintal,mangudor
memintal,mangudor 
memintal,"mapuyuh 
"
meminum parinuman n tempat atau alat minum,manginum 
meminumkan,paimumhon 
meminyaki,maminaki
meminyaki,"maminaki 
"
memiringkan,manederhon 
memiringkan,patelenghon 
memisah,manirang
memisah,manirang 
memisahkan  daging dari tulang-tulang,sosar
memitnah,managi
memitnah,managi 
memotong,magalgak
memotong,magalgak 
memotong,manghodot 
memotong,mangobogkon
memotong,mangobogkon 
memotong,obog
memotong,obog 
memotong,potong
memotong rata,manibtib 
memper,marjabolonkon
memper,marjabolonkon 
memperbaiki,manlabuh
memperbaiki,manlabuh 
memperbaiki,patureihon
memperbaiki,patureihon 
memperbaiki sio,pasintonghon 
memperbanyak,pabahatkon 
mempercepat,mangoloskon 
memperdalam,pabagashon
memperdalam,pabagashon 
memperjelas,patangkashon 
memperlihatkan,paidahkon 
mempermalukan,pabadorhon 
memperoleh,jumpahan 
memperparah,paparahkon
memperparah,paparahkon 
mempunyai,maranggi
mempunyai,marlata
mempunyai,marruma
mempunyai,marugah
mempunyai adik,maranggi 
mempunyai hidung,"marigung 
"
mempunyai luka,marugah 
mempunyai lumbung,marhobon
mempunyai rumah,marruma
memuat,maniat 
memuji,puji
memukul,dobug
memukul,dukduk
memukul,mambalbal 
memukul,mambogbog
memukul,mambogbog 
memukul,mamukul 
memukul,manaik 
memukul,manompas
memukul,manompas 
memukul,marlonsingkon  
memukul,maulpak 
memukul dengan tangan,dobug
memukul- mukul agar lembek,dukduk
memukuli,mambalbali 
memukuli,mambogbogi
memukuli,mambogbogi 
memukuli,manaltal
memukuli,manaltal 
memukuli,manompasi 
memukulkan,mamalukon
memukulkan dengan palu,mamalukon 
memulai,mamulai 
memulai,manoha 
memulai peker,mamungkah 
memulangkan,paulakkon
memulangkan,paulakkon 
memuliakan,pasangapkon
memuliakan,pasangapkon 
memundak tuhul,manuhuk 
memundur,mangundarhon
memundur,mangundarhon 
memungut,mamuldir
memungut,"mamuldir 
"
memuntah,mangutahkon 
memuntahkan,mamutahkon
memuntahkan,mamutahkon 
memurahkan,pamurahkon
memurahkan,pamurahkon 
memusingkan,paminggotkon
memusingkan,"putar 
berputar  
paminggotkon "
memutarkan,"pusing 
pahusorhon "
memutus,manrotap 
memutuskan,manrotaphon
men,rabrab
men,ummah 
menabur,manirtir 
menaburi,manirtiri 
menaburkan,manaburhon
menaburkan,manaburhon 
menaburkan,manampakhon
menaburkan,manampakhon 
menaburkan,manirtirhon
menaburkan,manirtirhon 
menadah,manedek
menadah,manedek 
menadahkan,manedekhon 
menagih,managih
menagih,managih 
menagih,manunggu
menagih,manunggu 
menahan,manaban 
menahan,manahan 
menahan,manehan
menahan,manehan 
menahan,manogong
menahan,manogong 
menahan napas,manguntong 
menahankan,manahankon
menahbiskan,manamojai
menahbiskan,manamojai 
menaiki,manaiki 
menaikkan,panaikhon
menaikkan,panaikhon 
menajak,manajak
menajak,manajak 
menajamkan,pamarothon 
menaji,manadi 
menakar,manuhat
menakar,manuhat 
menamai,manggorani
menamai,manggorani 
menambah,manambah
menambah,mangigil
menambah,maulbei
menambah,maulbei 
menambah i,mangigil 
menambahi,manambahi 
menambahkan,manambahkon 
menambahkan,maulbeihon
menambahkan,maulbeihon 
menambal,dungkap
menambal,manambal 
menambal baju,dungkap
menampar,manampar
menampar,manampar 
menampar,manamparhon
menampar,manamparhon 
menampar,manopar
menampar,manopar 
menampari,manampari
menampari,manampari 
menampi,ersek 
menampi,maneksek 
menampung,mananggo 
menampung,maransuh
menampung,maransuh 
menanam,mananom
menanam,mananom 
menanam,mantidah 
menanam,manuan 
menanam,mardang
menanam padi (di ladang),mardang
menanami,mananomi 
menanami,manuani 
menandai,mansinatai
menandai,mansinatai 
menandatangani,manaingi
menandatangani,manaingi 
menanduk,mananduk
menanduk,mananduk 
menandukkan,manandukhon
menandukkan,"manandukhon 
"
menang,butong
menang,monang
menangguk,manosap
menangguk sosar,manosap 
menanggung,mananggung
menanggung,mananggung 
menangis,bonguk
menangis,dangak
menangis keras hingga nafas tersendat,"dahaldahal 
"
menangis terus,lagatan
menangis terus menerus,lagatan
menangkal,manangkal 
menanti,ipa 
menantu,parumaen
menantu laki,hela
menantu laki-laki,hela
menanya,manungkunhon 
menapai,manapei 
menari,manortor 
menari memanggil roh,beibei
menarik,manarad
menarik,manarad 
menarik,manarik 
menarik,"mandokdok 
"
menarik,manggerethon 
menarik,manggojos 
menarik,manintak 
menarik,marrodong
menarik,marrodong 
menarikan,manortorhon 
menarikkan,manaradhon
menarikkan,manaradhon 
menarikkan,manarikhon
menarikkan,manintakhon 
menaruh di atas,padatas 
menasihati,malumba
menasihati,mamodahi
menasihati,manukui
menasihati,manukui 
menasihati podah,malumba
menasihati podah,mamodahi  
menasihatkan,palumbahon 
menatang,manatang 
menawari,manrambus
menawari,manrambus 
mencabut,manalungkar
mencabut,manalungkar 
mencabut,mandogdog 
mencabut,mangorbat
mencabut,mangorbat 
mencabut,manompu 
mencabut,maumpat 
mencabuti,mandogdogi 
mencabuti,mangambului
mencabuti,maumpati 
mencabuti bulu,"mangambului 
"
mencabutkan,maumpathon 
mencabutkan pandogdogi n pencabut,"mandogdoghon 
"
mencaci,elo
mencaci,mangelo
mencaci,mangelo 
mencaci; mencemooh; ,elo
mencakar,manraok 
mencakar,manrarik 
mencambuk,lonsing 
mencampur,manampur 
mencampur,"manombur 
"
mencampur,manotek 
mencampur,mauram
mencampur,mauram 
mencampurkan raru pada nira untuk membuat tuak,mararu 
mencangkul,gisgis
mencangkul,mamangkur
mencangkul,mamangkur 
mencangkul,manangkul 
mencangkuli,mamangkuri
mencangkuli pamangkur n pencangkul,mamangkuri 
mencangkulkan,mamangkurhon
mencangkulkan,"mamangkurhon 
"
mencantikkan,pajengeshon
mencantikkan,pajengeshon 
mencap,manokan
mencap,"manokan 
"
mencari,daordaor
mencari,mandaram
mencari,mandaram 
mencari,manjarahi
mencari,manjarahi 
mencari,"manorihi 
"
mencari,mansari 
mencari,marpolang
mencari,marsoban
mencari atau mengambil kayu,marharangan 
mencari- cari,daordaor
mencari ikan,mardengke 
mencari katak,marpolang 
mencari kayu bakar,marsoban 
mencekik,mamongkik 
mencekik,manggotol 
mencekik,manongkik
mencekik,manongkik 
mencela,manrisa 
mencelup,manolup 
mencelupkan,manoluphon 
mencelupkan,manornobkon
mencelupkan,manornobkon 
mencelupkan,manosobhon
mencelupkan,manosobhon 
mencepatkan,pasihaphon
mencepatkan,pasihaphon 
menceraikan,manirangkon
menceraikan,manirangkon 
menceraikan,manolahkon 
menceret,hansar
menceret,salur
menceritakan,manaritahon 
mencermati,manulimati
mencermati tulluk,manulimati 
mencincang,manaktak 
mencincang,mangetget 
mencincang,manggatgat  
mencincang,margahgah
mencincang,"margahgah 
"
mencita-citakan,nipi
mencium,mananggoh
mencium,mananggoh 
mencium,"manganggoh 
"
mencium,maummah 
menciumi,maummahi 
menciumkan,maummahkon
mencoba,lajou
mencoba,manguji
mencoba,manguji 
mencoba,mansuba
mencoba,mansuba 
mencubit,manggoit 
mencubit,manggotik 
mencubiti,mangootiki
mencubitkan,manggotikkon 
mencungkil,manduhei 
mencungkil,maungkil
mencungkil,maungkil 
mencuri,manangko 
mencuri,mangemur 
mendahak,markohak
mendahaki,markohak
mendahului,manlobei 
mendahulukan,manglobeihon
mendahulukan,"manglobeihon 
"
mendaki,"manangkong 
"
mendaki,tangkong
mendamai,mandameihon
mendamai,mandameihon 
mendangkalkan,mok
mendapat,"mandapot 
"
"mendapat malu: ulang gouskon agong ni i pakkon ni inang ipardom, pb jangan membuat malu ibu",agong
mendatangkan,parohkon 
mendatar,dos 
mendebarkan,mandibarhon 
mendegil,mahengkeng 
mendekap,maulig
mendekap,maulig 
mendekat,mandohor
mendekati,mandohori
mendekati,mandohori 
mendekatkan,padohorhon
mendekatkan,pahombarhon 
mendekatkan diri,padohorhon 
mendelik,manerleng
mendelik,"manerleng 
"
mendengar,mambogei
mendengar,"mambogei 
"
mendengar,manangar
mendengar,manangar 
mendengarkan,manangihon 
mendengkur,mungkor
mendengus,boh
mendenyut,harat 
mendepa mengukur,mangholag 
menderita,hodalon
menderita,tututon
menderita congek,tungkikon 
menderita penyakit kulit di kepala,tututon 
menderita sakit kulit,hodalon 
menderu,mandosong
menderu,"mandosong 
"
mendiamkan,pasiphon 
mendiangkan,manlulus
mendiangkan,"manlulus 
"
mendinding,mandingding
mendinding,mandingding 
mendindingi,mandingdingi
mendindingi padingdingon n pendindingan,mandingdingi 
mendingin,maborgoh
mendingin,maborgoh 
mendinginkan,paborgohkon
mendinginkan,paborgohkon 
mendirikan,pajongjongkon 
mendoakan,manonggohon 
mendongkol,manrampus
mendongkol,manrampus 
mendorong,mangonjar
mendorong,mangonjar 
mendorong,mangonjarhon
mendorong,"tolak 
mangonjarhon "
menduduki,manghunduli
mendudukkan,pahundulhon
mendudukkan,pahundulhon 
mendung,bonog
mendung,domuh
mendung,holom
mendung,horlom
mendurung,mandurung
mendurung,mandurung 
mendusta,mangguak
mendusta,mangguak 
mendusta,manladungi
mendusta,manladungi 
mendustai,mangguaki
mendustai,parladung
mendustai guak,mangguaki 
mendustai lae,parladung 
menebang,manroboh
menebang,manroboh 
menebas,"mangimas 
"
menebas,manobas 
menebus,manobus 
meneguhkan,patoguhkon 
meneguk,mandorgak
meneguk,mandorgak 
menegur,manapa
menegur,manapa 
menegur,manisei
menegur,manisei 
menelan,manolon
menelan,manolon 
menelan cepat,lor
menelungkup,marlangkop
menelungkup,marlangkop 
menembak,mambodil 
menembak,"mambodil 
"
menembak,manembak 
menembak,manembakhon 
menembok,manembok 
menembuskan,manunuti
menembuskan nolih,manunuti 
menempah,manopa 
menempahkan,patopahon
menempahkan,patopahon 
menempati,ian
menempati,mangian 
menempati,mangianani
menempati,mangianani 
menempati,"wadah 
mangian "
menempatkan,mangianhon
menempatkan,mangianhon 
menemui,ipadomu 
menemukan,manomuhon 
menenangkan,patonanghon 
meneng,nonghon 
menenggelam,maunobhon 
menenggelamkan,"patinophon 
"
menengkari,maninggili
menengkari,maninggili 
menentang,tuldom
menenun,manonun 
menepi,mambidingi 
menepikan,mabiding
menepikan,pabidingkon
menepikan,pabidingkon 
menerangi,manorangi
menerangi,manorangi 
menerangkan,patoranghon
menerangkan,patoranghon 
menerbangkan habang,"pahabangkon 
"
menerima,manampin
menerima,manampin 
menerima,manjalo 
menerimakan,manjalohon 
menerjang,"mananjak 
"
menerkam,mandorab 
meneruskan,dugot
meneruskan,patorushon 
menetak,mananggam
menetak,mananggam 
menetek,manusu
menetek,manusu 
meneteki,manusui
meneteki,manusui 
menetes,manektek
menetes,manektek 
"menetes, gerimis: dopma marindik udan sudah menetes hujan (gerimis)",marindik
meng,hius
meng,kiuskius
meng,"mangamparhon 
"
meng,"manggukgukkon 
"
meng,manghobirhon
meng,"manghobirhon 
"
meng,mangombunhon
meng,"mangombunhon 
"
meng,"mangunsagahkon 
"
meng- garuk-garuk,kiuskius
meng- gonggong,mumbal
mengabaikan,manioshon 
mengacau,marsehu 
mengadakan,"mangadonghon 
"
mengaduh,aing
mengaduk,manggaor 
mengaduk,mangugar
mengaduk,mangugar 
mengairi,mangarbahi
mengairi,mangarbahi 
mengais,kaes
mengais,"kais  
manghais "
mengais,manghear 
mengaiskan,manghaishon
mengaiskan,manghaishon 
mengait,manghait 
mengajak,tandangkon
mengajak orang untuk bertandang,tandangkon 
mengajar,mangajar 
mengakar,mangurat 
mengaku,jahu
mengaku salah,lungkar
mengaku salah sendiri,lungkar
mengakui,topot
mengalikan,manghalihon
mengalikan,manghalihon 
mengalung,masinokokhon 
mengalungi,masinokoki 
mengambang,olad
mengambil,"mangalop 
"
mengambil jalan pintas,marlembang
mengambil sesuatu,nges
mengambil sesuatu dengan sangat cepat (yang dilakukan pencuri),nges
mengambil umbut,hubal
mengambil umbut pohon aren,hubal
mengambili,"mangabisi 
"
mengancam,manggombit
mengancam,manggombit 
mengandaikan,marlimbaga
mengangakan mulut,ang
menganggur,ansoanso
menganggur,edak
mengangkang,manehang
mengangkang,manehang 
mengangkat,mangangkat 
mengangkat,"mangayob 
"
menganjurkan,manajukhon 
menganjurkan,maningkal
menganjurkan,maningkal 
mengantar,"manaruhkon 
"
mengantongi,maksusangi
mengantongi,maksusangi 
mengantuk,depdep
mengantuk,mangedep
mengantuk,mangedep 
mengantuk,medep 
mengantuk,pede
mengantuk,unduh
menganyam,mambayu
menganyam,mambayu 
mengapa,mase
mengapa,nase
mengapa; kata tanya untuk menanyakan sebab atau perbuatan,mase
mengapur,manghapur 
mengapuri hapur barus kapur barus,manghapuri 
mengarah,mandompak
mengarah,mandompak 
mengasam,mamigar 
mengasami,mamigari 
mengasamkan,pamigarhon
mengasamkan,pamigarhon 
mengasapi,pul
mengatai,manghatai
mengatai,manghatai 
mengatakan,manghatahon
mengatakan,mangkatahon 
mengatur,mangatur
mengatur,manransap 
mengaum,aum
mengawani,manghasomani 
mengawani,manghuani 
mengayak,manege 
mengayuh,mangayuh
mengayuh,mangayuh 
mengayunkan,hurdo
mengecil,maetek 
mengedip,manghirdop 
mengejar,"mamuyuk 
"
mengejar,"mangayak 
"
mengejar,manulus 
mengejar,mardakdak 
mengejar,muyuk
mengejek,manugan
mengejek,manugan 
mengejek ,marongon 
mengejuti,manghirjati
mengejuti,manghirjati 
mengejuti,manonggoti 
mengekor,"pantat  
mangihur "
mengelak,manangkah
mengelak,manangkah 
mengelak,silah
mengelakkan,manangkahon
mengelakkan,manangkahon 
mengeluar,mangaluarhon
mengeluar,mangaluarhon 
mengeluarkan,luaran
mengeluarkan,padaratkon
mengeluarkan,padaratkon 
mengeluarkan getah,luaran
mengelupas,maliklik 
mengem,pahembangkon 
mengembangkan,"pahombangkon 
"
mengembik,marbehek
mengembik,marbehek 
mengembung,marbuniat 
mengembuni,mangombuni 
mengena ke hati,daloh
mengenai,manghonai 
mengenal,mananda
mengenal,mananda 
mengenalkan,"kenal 
patandahon "
mengenalkan,patandahon
mengendap,marnanak 
mengental,mamelhat
mengental,mamelhat 
mengentalkan,mamelhatkon
mengentalkan,"pekat 
mamelhatkon "
mengentuti,manguntuti
mengeong,"marngeong 
"
mengepal,mamohul
mengepal,mamohul 
mengepal,manghopol
mengepal,manghopol 
mengerat,manghorat 
mengerat,manghorot
mengerat,manghorot 
mengering,mahorah
mengeringkan,mahorahon
mengerjakan,manghorjahon 
mengerjakan,manghoseihon
mengeruh,manggomburi
mengeruh,manggomburi  
mengeruhkan,manggomburkon
mengeruhkan,"manggomburkon 
"
mengetahui,"mambotoh 
"
mengetam,manghotam
mengetam,manghotam 
mengetuk dengan kuat,dungar
menggali,manahur 
menggali,"manghuar 
"
menggali,manghurak 
menggali,manghuruk 
menggali,manguhal 
menggali,ngongkal 
menggandeng,mangkating 
mengganggu,lampang
mengganggu,manggarjou 
mengganggu,mugar
menggapai,dungdung
menggapai dengan posisi membungkuk,dungdung
menggarami,manirai 
menggayung,manggayung
menggayung,manggayung 
menggelapkan,pagolapkon
menggelapkan golas,pagolapkon 
menggelar pesta,pestahonon 
menggeledah,"marrukas 
"
menggeleng,mangupir 
menggelepar,hulepor
menggeliat,gadeol
menggeliat,margedat
menggeliat,"margedat 
"
menggelitik,gitik 
menggelitik itil,itik 
menggem,"alat 
untuk menghangatkan "
menggem,manggomparkon 
menggem,pabutonghon
menggem,"pabutonghon 
"
menggembira,pamegahkon 
menggendong,manangking
menggendong,manangking 
menggendong,mangambit
menggendong,mangambit 
menggerak,manghusorkon 
menggerakkan dengan sekuat tenaga,"guahkon 
"
menggergaji,manihit
menggergaji,manihit 
menggesek,mangupamhon 
menggetarkan,"hitirkon 
"
menggigil,eper
menggigit,mandoit 
menggigit,manggigit 
menggigit,"mangharat 
"
menggigit,manghorut
menggigit hosa,manghorut 
menggigiti,mangharati 
menggigitkan,mangharathon 
menggiling,manggiling 
menggiling,manuktuk
menggiling,manuktuk 
menggiling,manuktukhon
menggiling,manuktukhon 
menggonggong,mangumbal
menggonggong,mangumbal 
menggoreng,manggorang
menggoreng,manggorang 
menggores,manurih 
menggoreskan,manurihkon 
menggosok,manggosok 
menggosok,manggusok
menggosok,manggusok 
menggosok,manghusuk
menggosok,"manghusuk 
"
menggosok,manghusukkon 
menggosok,mangugus 
menggoyang,mandugur 
menggoyang,maunggat
menggoyang,maunggat 
menggulai ikan mas,mangarsik 
menggulung,manghulhul
menggulung,pugul
menggunakan,marhatoban
menggunakan jasa pembantu,marhatoban 
menggunduli,mamalpal 
menghabis,manungkalhon
menghabis,manungkalhon 
menghabiskan,ampud
menghabiskan,mamboishon 
menghabiskan,managashon 
menghabiskan,"manghorushon 
"
menghadap ke,galgal
menghadap ke atas,galgal
menghafal,imangapil 
menghafalkan,mangapilhon 
menghampiri,manghapiri
menghampiri,manghapiri 
menghangati,malasi 
menghangatkan,marmalas 
menghangatkan,opop
menghangatkan,pamalaskon 
menghangatkan anaknya di bawah sayap,opop
menghapus,manasap
menghapus,manasap 
menghapus,mangapus
menghapus,mangapus 
menghapus,mangusap
menghapus,mangusap 
menghapuskan,manasaphon 
mengharap,kawahan
mengharap,mangarap 
mengharap- harap,kawahan
mengharapkan,"mangarapkon 
"
menghasta,"mangolag 
"
menghentak,denges
menghentikan,pasohkon 
menghilangkan,mamagou 
menghilangkan,"pangagouhon 
"
menghina,mandoring
menghina,mandorun 
menghina,manghiri 
menghindar,manimbil 
menghindari,manimbili 
menghinggapi,manogopi 
menghirup,manirup 
menghisap candu,madat
menghitamkan,pabironghon 
menghitung etor,mangetong 
menghormati,"mangtabi 
"
menghormati raja,laidaulat 
menghujani,mangudani
menghujani,mangudani 
menghukum,manghukum
menghukum,manghukum 
mengibaskan,manarsarhon
mengibaskan,manarsarhon 
mengigiti,mangharati 
mengikat,manambat
mengikat,manambat 
mengikat,marahut 
mengikat,mauntam
mengikat hewan,arih
mengikat hewan dekat dengan tempat tambatannya,arih
mengikat kecil,mamborkos 
mengikatkan,manambathon
mengikatkan,manambathon 
mengikir,mangihir
mengikir,mangihir 
mengikir,mangkihir
mengikir alat kikir,mangkihir 
mengikis,magougou 
mengikis,manghabus 
mengikuntukan,"mangihutkon 
"
mengikut,dihuti 
mengikuti,dihuti
mengikuti,dihuti 
mengikuti,mangirik
menginap,tondok
mengingat,dingati 
mengingat,mangingat 
mengingat,mangingot
mengingat,mangingot 
mengingkar,mangengkar 
menginjak,manrojat
menginjak,manrojat 
mengintai,gompang
mengintai,mangintei 
mengintai;,gompang
mengintip,mangintip 
mengira,mangkira 
mengiri,manubil 
mengirim,manghirim 
mengirim,manongos 
mengirimkan,manongoskon 
mengiring,mangirik
mengiring,"mangiring 
"
mengiringi,mangirikhon
mengiringkan,mangirikkon
mengiringkan,mangirikkon 
mengiringkan,pangirikkon
mengiris,"mangiris 
"
mengiriskan,mangiriskon 
mengisap,manginsop 
mengisap,manginsophon 
mengisi,asakasak
mengisi,mangisi 
mengistirahat,manaranhon
mengistirahat,manaranhon 
mengiyakan,mangiakkon 
mengizinkan,mangalopas
mengizinkan,mangalopas 
mengobati,manambari
mengobati,mangubati
mengobati,mangubati 
mengobatkan,patambarhon
mengobatkan,patambarhon 
mengobatkan,paubathon
mengobatkan,paubathon 
mengocok,manegu
mengocok,manghiat
mengocok hida,manghiat 
mengocok sehang,manegu 
mengolak,mangolak 
mengoles,manlapu
mengoles,manlapu 
mengoles,manosah
mengoles,manosah 
mengoleskan,manosahkon
mengoleskan,manosahkon 
mengomel,"maringis 
"
mengonsep,manghonrap
mengonsep,manghonrap 
mengorek,puhur
mengorek (kearah dalam),puhur
mengorek atau,olbuk
mengorek atau membalik padi yang ditumbuk di lesung dengan menggunakan tangan,olbuk
mengotori,mambutaki
mengotori,mambutaki 
mengotori kuasa,mangkotori 
mengotot untuk,suhil
mengotot untuk meminta sesuatu,suhil
menguap,marhoyam 
menguas benang,"mangunggas 
"
menguasai,manguasai
menguat,laganan
menguat,margogoh 
menguat 2lagan,laganan 
menguatkan,pagogohkon 
mengubah,mangubah 
mengubik; mengupas,lahei
menguburkan,manguburhon
menguburkan,manguburhon 
mengukir,"manguhir 
"
mengukur,mangukur 
mengulangi,mangulaki
mengulangi,mangulaki 
menguliti,manghuliti 
mengulur indil,mindat 
mengum,mahimpangkon 
mengum,maumpamahon
mengum,maumpamahon 
mengumpat,mantiha 
mengumpulkan,mamulung
mengumpulkan,mamulung 
mengundang,manrogong
mengundang,manrogong 
mengunyah,gagat
mengunyah,manghursap 
mengunyah rumput,gagat
mengunyah: ompung mangan demban nenek makan sirih,mangan
mengupa,upa 
mengupahi,mangupahi
mengupahi,mangupahi 
mengupas,manghubak
mengupas,"manghubak 
"
mengupayakan,pamutahkon
mengupayakan supaya muntah,pamutahkon 
mengurang,mangurakhon
mengurang,mangurakhon 
mengurangi,manguraki
mengurangi,manguraki 
mengurung,manghurung 
mengurus,mamerung
mengurus,"mamerung 
"
menguruskan,pamerungkon 
mengurut,mangalut
mengurut,mangalut 
mengurut,mapohol  
mengusapkan,mangapushon
mengusapkan,mangapushon 
mengusir,"mangalai 
"
mengusir,manggorat 
mengutangkan,pautanghon 
mengutip,manghutip
mengutip,manghutip 
mengutip,mangiduk
mengutip,mangiduk 
mengutui,marhutu 
mengutuk,mambura 
mengutuk,manapata
mengutuk,manapata 
menidurkan,papodomhon
menidurkan,papodomhon 
menidurkan,patibalhon
menidurkan,"patibalhon 
"
menidurkan,pithon 
menikah,unjuk
menikahkan,paunjukhon 
menikahkan sambil mem- berangkatkan wanita ke rumah suaminya atau mertuanya,boru
menikam,maniham
menikam,maniham 
menikam,manobak 
menikamkan,manihamhon
menikamkan,manihamhon 
menikamkan,manobakkon 
menimang,maniteng 
menimba,arsak
menimbang,manimbang
menimbang,manimbang 
menimbun,manamban 
menimbun,manasa 
menimbun,manimbun 
menimpa,manipa 
menindih,manindih 
meninggal,manangguhkon
meninggal,manangguhkon 
meninggal,tikal
meninggalkan,"manadingkon 
"
meninggi,mangenseng
meninggi,"mangenseng 
"
meninjau,"manatap 
"
meninju,manenju 
menipiskan,marampishon 
menipiskan,patipishon 
menipu,manghilang
menipu,manghilang 
menipu,manipu 
menipu dalam,lagei
menipu dalam perniagaan,lagei
menir beras yang,suju
menir beras yang hancur,suju
meniru,maniru 
meniti,mangitei 
menitipkan,manonjahon
menitipkan tonjan,manonjahon 
meniup,manompul
meniup,manompul 
meniup,"manompul 
"
meniup,nompul 
meniupkan,manompulhon 
meniupkan,mardongkut
meniupkan dongkut,"mardongkut 
"
menjadi,bunyi
menjadi,gabe
menjadi,mamegahkon
menjadi,mandantur
menjadi,manjadi  
menjadi,masombuh
"menjadi (diangkat, dipilih) sebagai",gabe
menjadi agak tinggi,"magijang 
"
menjadi besar,punar
menjadi bulat,manggemong 
menjadi gembira,"mamegahkon 
"
menjadi hancur,mandantur 
"menjadi lebih baik (laku,",maju
menjadi malu,tarbador 
menjadi miskin,masombuh 
menjadi sumbing,"manramping 
"
menjadikan,mamelahon
menjadikan,"mamelahon 
"
menjadikan,mamosonghon
menjadikan,manjadihon
menjadikan,manompiti
menjadikan,pahipaskon
menjadikan,pasaudhon
menjadikan,pasaudhon  
menjadikan hangus,mamosonghon 
menjadikan sehat,"pahipaskon 
"
menjadikan sempit,"manompiti 
"
menjaga,manjaga 
menjaga,"manramot 
"
menjagakan,manjagahon
menjahit,manjait  
menjala,manjala 
menjalani,mandalani 
menjalankan,mandalankon
menjampi,manabas
menjampi,manabas 
menjanda,mabalu 
menjanjikan,mamadanhon
menjanjikan,mamandanhon
menjarang,maranggou
menjarang,maranggou 
menjarang,maranggouhon
menjarang,maranggouhon 
menjauhkan,padaohkon 
menjawab,manampang
menjawab,manampang 
menjelaskan,pajojorkon
menjelaskan,pajojorkon 
menjelaskan,patedanghon 
menjemur,manghirei 
menjemur,manjomur 
menjengkal,manjongkal
menjengkal,manjongkal 
menjengkali,manjongkali
menjenguk,"mangiligi 
"
menjenguk,manungkir
menjenguk,"manungkir 
"
menjepit,manghapit
menjepit,marapit 
menjerang,mananggor 
menjerang,mananggorhon 
menjerang,manjorang
menjerang jomput,manjorang 
menjerat,manambil
menjerat,manambil 
menjerat,maniding 
menjerat,manrajum 
menjerit,doruh
menjerit,doruh 
menjerit,mandorak 
menjerit,ngair
menjilat,mandilat
menjilat,mandilat 
menjilat bibir,aluk
menjinjing,manghanting
menjual,manjual 
menjualkan panjual n penjual,manjualhon 
menjulur,manghurei 
menjulurkan,manghureihon 
menjumpa,manjumpahkon 
menjumpai,manjumpahi 
menjumput,manjomput
menjumput,"manjomput 
"
menjunjung,"manjujung 
"
menjunjung,pajujunghon 
menokok  kepala dengan sendi jari tengah yang dilipatkan,dotak
menokok kepala,dotak
menolak ke pinggir,suag
menolak ke pinggir agar bisa lewat,suag
menolong,mangurupi 
menombak,mananja 
menombak,manumbak 
menonjol,tuluk
menonjolkan,manjodathon
menonjolkan,manjodathon 
menoreh,malapah
mentah,motak
"mentah  belum masak; belum waktunya untuk dipetik, diambil hasilnya dan sebagainya (seperti buah- buahan)",matah
mentah belum,matah
mentimun,ansimun
menuakan,patorashon
menuakan,patorashon 
menuang air,ampor
menuang air sedikit-sedikit,ampor
menuangkan,manuanghon
menuangkan,manuanghon 
menuduh,manukas
menudung,mambulangkon 
menukarkan,manuharhon
menukarkan,manuharhon 
menular,dalit
menulis,manurat
menulis,"manurat 
"
menuliskan,manurathon 
