Definition,Lemma,Pronunciation,Part of Speech,Sentence Examples and Related Forms
panjang,landou,landOw:,Adjective,tobu i juma nami domma landon tumang tebu di ladang kami sudah panjang semua
tahi lalat,landung,landuG:,Noun,banggal do landungni si Ucok ai i bohini alangkah besarnya tahi lalat si Ucok itu di wajahnya
suara yang merdu,landur,landu:r,Noun,
tangkai padi yang berisi penuh biji padi,landur,landur,Noun,
" tidak; partikel untuk menyatakan pengingkar- an, penolakan, penyangkalan, dan sebagainya; tiada",lang,laG,Adverb,lang roh ia dia tidak datang;
dinihari,langatlangat,laGatlaGat,Noun,menjelang pagi hari; matahari terbit;
memeriksa kail atau perangkap apakah sudah mengena atau belum,langei,laGey,Verb,
tempat yang disakralkan,langgatan,laggatan,Noun,keramat besar; nini halak langgatan rado mangan jolma kata orang keramat besar mau makan orang
alat  tali untuk memanjat pinang kelapa,langgiat,laggiyat,Noun,
pengikat antara pisau dan tangkainya yang terbuat dari besi  atau rotan,langgou,laGgow,Noun,
simpai,langgu,laGgu,Noun,pengikat gagang pisau atau alat-alat pertanian lainnya
tutup,langgum,laggum,Noun,idia dibaen hamu langgum ni hudon ai? dimana kamu bikin tutup periuk itu?
langit,langit,laGit,Noun,
langkah; manlangkah v melangkah,langkah,lakkah,Verb,au manlangkah		do		anggo mardalan	saya		melangkah kalau berjalan
bantal,langkian,lakkiyan,Noun,apei do langkian ni modom tikar bantalnya tidur
siput,langkitang,lakkitaG,Noun,i sabah nami bahat do langkitang di sawah kami banyak siput
alat penutup wadah; tutup,langkop,lakkOp,Noun,maseda langkup ni hudon nami udah rusak tutup periuk kami;
terbengkalai,langkor,lakkor,Adverb,horja mu langkor do totap pekerjaanmuselalu terbengkalai
burung hantu,langkupa,lakkupa,Noun,bodari do langkupa puho burung hantu bangun malam hari
terhalang; terkendala,langlang,laGlaG,Verb,hanami langlang do hu sikolah halani udan kami terhalang ke sekolah karena hujan
langsat,langsat,laGsat,Noun,
hambar,langu,laGu,Adjective,lowoh nami langu halani hurang masak sayur kami hambar karena kurang masak
pikul,lanja,lanja,Verb,
terus,lanjar,lanjar,Adverb,
panjang kecil,lanjung,lanjuG,Adjective,
telanjur,lanjur,lanjur,Adverb,au lanjur mangisop ganja aku telanjur mengisap ganja
lalat,lanog,lanog,Noun,bahat do lanog bani na kotor banyak lalat pada yang kotor
 bermacam- macam;  banyak,lanou,lanOw,Adjective,i alaman rumah nami lanou do isuan bunga di halaman rumah kami banyak ditanam bunga
tempat babi hutan tidur-tiduran,lansang,lassaG,Noun,bahat do lansang i harangan di hutan banyak terdapat tempat babi hutan tidur-tiduran
pesuk; tembus,lansar,lassar,Verb,boltokni lansar ihona senapang perutnya tembus kena senapan
 tidak menaruh hiba,lansat,lassat,Adjective,ulang lansat mangidah nam sombuh! jangan tak menaruh hiba melihat orang yang tak punya;
lalai; kurang hati- hati,lansei,lassey,Adjective,halani marguro-guro lansei ia horjahon i rumah karena bermain-main ia lalai pada pekerjaannya di rumah
pendiam,lansi,lassi,Adjective,halak na lansi payah do mamah hasoman orang pendiam  sulit di jadikan teman
laci meja,lansi,lassi,Noun,laci lemari
cabe,lansina,lassina,Noun,bahatdo lansina i huta nami banyak cabe di kampung kami
lalai,lansu,lassu,Adjective,ulang lansu mangkorjahon horja jangan lalai mengerjakan tugas
telanjur,lansung,lassuG,Adverb,au domma lansung marhata hubani saya telah terlanjur bicara padanya
luas,lantang,lantaG,Adjective,lantang do rumah nami rumah kami luas
kantung pundi tempat sirih,lantang,lantaG,Noun,
terang pemandangan,lantar,lantar,Adjective,i atas dolog lantar do atonggoran di atas gunung jelas pemandangan
kurang sopan,lantas,lantas,Adjective,parsahapni lantas do tong bicaranya kurang sopan sekali
lantai,lantei,lantey,Noun,lantei ni rumahni ibahen humbani buluh lantai rumahnya terbuat dari bambu
ramuan yang dibuat untuk sakit asma,lanting,lantiG,Noun,
sejenis pohon (semak) yang mirip dengan pohon terong tetapi bercabang tiga,lanting,lantiG,Noun,
pintar,lantos,lantOs,Adjective,ulang ma lantos tu jangan terlalu pintar
pergi,laho,lahO,Verb,hanami laho hu Jakarta kami pergi ke Jakarta
lama,laon,laO:n,Adverb,ulang ma laon tu laho! jangan lama kamu pergi!
melintas; melewati; ilaosi v dilewati,laos,laOs,Verb,anggo lang ibotoh ilaosi tumang kalau tidak tahu lampaui saja;
delapan,lapan,lapan,Numeral,hanami marsanina lapan halak kami delapan orang bersaudara
lapang; jalan yang selalu dilalui binatang atau manusia,lapang,lapaG,Adjective,banggal do lapang ni bodat ai besar jalan monyet itu
lapar,lapar,lapar,Adjective,ulang itarohkon anggo lapar jangan ditahankan kalau lapar
mandul; majir,lapat,lapat,Adjective,kakak si Ani lapat torus kakak si Ani mandul terus
"belum, masih dalam keadaan tidak",lape,lape,Adverb,au lape mangan aku belum makan;
alas,lapik,lapik,Noun,
lapis,lapis,lapis,Noun,baju na dua lapis tiap ari bajunya dua lapis tiap hari
lapuk,lapuk,lapuk,Adjective,indahan na lapuk lang boi i pangan nasi yang sudah lapuk tidak boleh di makan lagi
hampa (padi); tidak bernas,lapung,lapuG,Adjective,omei nami bahatan lapung do padi kami banyak yang hampa
larang,larang,laraG,Verb,
terang peman- dangan,larlar,larlar,Adjective,larlar panagaran hu ngatas dolog terang peman- dangan dari atas gunung
tiruan tembakan,lasak,lasak,Noun,
dibayang- bayangkan; dikata-katakan; pura-pura tak sengaja,lasalasa,lasalasa,Verb,domma ongga lasa-lasa hon bangku sudah pernah dikata-katakan padaku
ilmu yang tidak ada kebenarannya,lasam,lasam,Noun,
sembarangan dalam ucapan dan tindakan,lasam,lasam,Noun,ulang lasam ho jangan semba- rangan berbicara
nama sejenis kain,lasuan,lasuwan,Noun,
anak tanaman; bibit,lata,lata,Noun,marlata n mempunyai anak tanaman;  bibit:	bayam nami domma marlata bibit bayam kami sudah mulai tumbuh
rasa panas kapur (di mulut),latak,latak,Noun,taridah do bau ni latak ai anggo maruapuran tampak- nya rasa panas kapur itu ketika makan sirih
denting suara benda jatuih,latang,lataG,Noun,
tatah,latap,latap,Noun,pahat; bentuk;
cemburu,latei,latEy,Adjective,ulangma dong uhur latei janganlah ada pikiran cemburu
letih,latih,latih,Adjective,
jelatang; sejenis tumbuh-tumbuhan yang meng- gatalkan; jelatang,latong,latoG,Noun,ulang i jamah latong ai! jangan di pegang jelatang itu!
laut,laut,laut,Noun,
pelepah,lawak,lawak,Noun,lawakni buluh pelepah bambu
lawan,lawan,lawan,Noun,malawan v melawan; parlawanan v perlawanan; tarlawan v terlawan
sunyi; lengang; sepi,lawang,lawaG,Adjective,pardalanan  nami nantuari lawang perjalanan kami semalam lengang
 abang dari istri,lawei,lawey,Pronoun,3 anak dari kakak ayah; 4 ipar
ringan,layab,layap,Adjective,pilih ma horjamu na layab ase ulang podas ho matua! pilihlah pekerjaanmu yang ringan agar jangan lekas tua!
pemurah; orang yang suka memberi,layak,laya:k,Adjective,halak na layak tongtong do Tuhan mambere hatonangan hu bani orang yang pemurah Tuhanlah yang memberikan ketenangan kepadanya;
sejenis unggas kecil,layam,layam,Noun,
daun kemangi,layam,layam,Noun,
langkah,layang,layaG,Verb,
layar,layar,layar,Noun,"anggo iombus logou layar parahu ai, mutor do rohngoh ni parahu ai kalau dihembus angin layar perahu itu maka bertambahlah kecepatan perahu itu"
kurang mengindah- kan,layas,layas,Adjective,
lemah lembut,layoh,layOh,Adjective,tong tong do ia layoh marhata dompak abangni selalu dia lemah lembut bicara dengan abangnya
"berlanjut, terus menerus sehari penuh",layur,layu:r,Verb,
a kurang meng- indahkan,leas,lEyas,Toba,ia leas dassa bani hata ni halak dia kurang mengindahkan cakap orang
adv terlambat,leat,lEyat,Toba,au leat do hu sikolah saya ter- lambat ke sekolah
melenggang,lebas,lEbas,Verb,pardalanni lebas jalannya melenggang
melintas; lalu; lewat,lebat,lEbat,Verb,lang ongga lebat ia hujan tak pernah ia lewat dari sini
penyu,lebow,lEbOw,Noun,
bengkok,leduk,lEduk,Adjective,
asing; aneh; tidak biasa; lain; beda tidak sama,legan,lEgan,Adjective,hananipan legan jurusan nami (kami berlainan jurusan); marlegan v berlainan; paleganon n pengasingan
 belok,legot,lEgOt,Adjective,liku;
serba kotor,legut,lEgut,Adjective,kotoran ada disana sini
melekat bagai pulut lehleh [lEhlEh] v kalah; tidak menang,lehat,lEhat,Adjective,ulang	do	lehleh
lekuk,lehuk,lEhuk,Noun,juma nami pe bahat do lehuk ladang kami pun banyak lekuknya
batu tulis,lei,lEy,Noun,sapari i pakei do lei minik sikolah dulu dipergunakan batu tulis untuk sekolah
dikejar-kejar,leilei,lEylEy,Verb,dayok i leilei husing ayam dikejar-kejar kucing
jauh,lejep,lEjEp,Adjective,parsikolahkon nami lejep dohun rumah sekolah kami jauh dari rumah
lama sekali,leler,lElEr,Adverb,ia leler do ase roh dia lama sekali baru datang
tidak bersemangat,lelet,lElEt,Adjective,kurang jantan
berlemak; berminyak,lemak,l|mak,Adverb,babui na mambur bahat do lemak ni babi yang gemuk banyak lemaknya
menyimpang,lembang,lEmbaG,Verb,marlembang v melenceng; memintas; marlembang do ase podas mengambil jalan pintas agar cepat sampai
licin;,lemes,lEmEs,Adjective,dalan hu medan lemes do jalan  ke Medan licin
bulat,lemong,lEmoG,Adjective,tanohon lemong songon bola bumi bulat seperti bola
merenung memandang ke bawah,lempe,lEppE,Verb,tunduk na lempe! tunduk yang meng- hadap ke bawah!
gumpal; salempeng n segumpal; satu gumpal,lempeng,lEppEG,Noun,lopat salempeng lepat segumpalan
ramping,lemper,lEppEr,Adjective,anak boru ai lemper anak gadis itu ramping
melahirkan yang tak cukup umur,lena,lEna,Verb,orang tuani hasoman nami lena orang tua kawan kami melahirkan tak cukup umur
lendir; marlender	v	berlendir,lender,lEddEr,Noun,marlender ma hayuni galuh batang pisang berlendir
luas,lendes,lEddEs,Adjective,pakaranganni rumahni lendes pekarangan rumahnya luas
bungkuk,lenduk,lEdduk,Adjective,anggo domma matua somal do lenduk kalau sudah tua biasanya bungkuk
buncit,leneng,lEnEG,Adjective,boltok na leneng perut yang buncit
licin,lenes,lEnEs,Adjective,dalan laho hu juma lenes jalan ke ladang licin
lalai,lengah,lEGah,Adjective,gati do ia lengah bani horja dia sering lalai akan kerja atau tugas
amat lama,lenger,lEGEr,Adjective,
duduk goyang lutut,lenggang,lEggaG,Verb,ia hundul lenggang dia duduk goyang lutut
,lengleng,lEGlEG,,
kecil tapi tampan,lenter,lEntEr,Adjective,gurama ai lenter pemuda itu kecil tetapi tampan
n sayur,leo,lEO,,
lewat,leot,lEyOt,Verb,panorong mangan domma leot mereka makan sudah lewat
salah; tidak benar; tidak	tepat,lepak,lEpak,Adjective,bolasni	lepak jawabnya tidak tepat; halepakon n kesalahan; manlepakkon v menyalahkan; menyatakan		(menganggap) salah; melemparkan kesalahan kepada
 terbaring,lepe,lEpE,Verb,meletak- kan badan dengan punggung atau sisi badan di sebelah bawah; tidur-tiduran;
rebah,lepet,lEpEt,Verb,roboh; tumbang;
sulah; botak; gundul,lepong,lEpOG,Adjective,ulumi baru lepong kepalanya baru dicukur gundul
sepeda,lereng,lErEG,Noun,kereta angin
dapat di lihat dari jauh,lerler,lErlEr,Verb,dolog ai lerler do humbani na daoh gunung itu dapat dilihat dari jauh
genit (bergaya- gaya); banyak tingkahnya; keletah,leseh,lEsEh,Adjective,anggini halak ai leseh tumang adik orang itu genit sekali
tak kena; tak tepat,leset,lEsEt,Adjective,tembakar ni leset tembakannya tidak tepat
tergelincir,leset,lEsEt,Adjective,
berjudi dengan kartu domino,lesset,lEssEt,Verb,
burung puyuh,leto,lEto,Noun,i huta nami bahat do leto di kampung kami banyak burung puyuh
tidak sopan,liab,liyab,Adjective,ulang liab diri i tongah na mabui kita harus sopan melintas di tengah yang ramai
tak mendapat,liah,liyah,Verb,ulang mabiar liah! jangan takut tak mendapat!
batu asah kecil,lian,liyan,Noun,payah do torihon lian sulit dicari batu asah
 gua,liang,liyaG,Noun,dong do liang i harangan ada gua di hutan;
liar,liar,liyar,Adjective,horbou na liar
tanah liat,liat,liyat,Noun,tanoh liat boi do ibahen asbak tanah liat dapat dibuat asbak
meramal,liatliatan,liyatliyatan,Verb,
pukul; hantam,libas,libas,Verb,ulang libas ho anak-anak in! jangan kau pukul anak-anak itu
berganti; tukar; marlibei v berganti; bertukar,libei,libEy,Verb,sidea	ra		marlibei		barang mereka		bersedia	bertukar barang
tukar,libey,libey,Verb,
suara gedebug; malibig v berbunyi gedebug,libig,libig,Adverb,sorani mau libig suaranya
sakit kepala; pening,libog,libOg,Adjective,libog do ia halani mangan pining ia  pening karena makan pinang
amat tinggi,libos,libOs,Adjective,hayu ai libos kayu itu amat tinggi
nibung,libung,libuG,Noun,libung aima samasam palma na marduri nibung adalah sejenis palma yang berduri
gagang tombak,libut,libut,Noun,
ratap,lidung,liduG,Verb,
tak sama disayangi ligah [ligah] v pecah,ligah,ligah,Adjective,galas ai murah do ligah gelas itu mudah
tangkas,ligat,ligat,Adjective,
berpisah dari kawan atau sanak,liglig,liglig,Verb,ulang ma ibaen liglig! janganlah dibuat berpisah!
"terang, cerah",lihar,lihar,Adjective,bani sada sogod lihar tumang pada suatu pagi udara terang sekali; panliharhon v membuat lebih cerah
terang peman- dangan,lihur,lihur,Adjective,lihur do hami sormin terang pemandangan pada cermin
tungkai; panjang tetapi kecil,likih,likih,Noun,dakdanak ai likih anak itu panjang tetapi kecil
terkelupas,liklik,liklik,Verb,
hilang,likou,likow,Verb,tongkin dassa na tadingkon domma likou sebentas saja ditinggalkan sudah hilang
tikus busuk,lilie,liliE,Noun,
lilin,lilin,lilin,Noun,lilin ibuat humbani asar lobah! lilin di- buat dari sarang lebah!
ucapan yang tak sengaja keluar dari mulut,lilir,lilir,Noun,
lemang,lilis,lilis,Noun,"panganan dari ketan yang dimasak dalam bambu dengan menggunakan santan dan dipanggang; manlilis v melemang, me- masak lemang"
lima,lima,lima,Numeral,nama bagi lambang bilangan asli ke-5; palimahon n yang ke-5; palimalima v berlima-lima; parlima v membagi lima
nama salah satu kampung di Raya,Limag,limag,Noun,
tajam,limar,limar,Adjective,limar do piso on pisau ini tajam
limas,limas,limas,Noun,limas aima bulung lanam daroh  limas ialah daun tempat darah
umpama; bagaikan; seakan-akan; marlimbaga n mengandaikan,limbaga,limbaga,Noun,nanihan gati do halak na marlimbaga	dahulu	orang sering menggunakan umpama;
bekas laluan,limbas,limbas,Noun,
sejenis ikan lele,limbat,limbat,Noun,bahat do limbat i sabah banyak ikan lele di sawah
bekas yang dilalui,limbei,limbEy,Noun,lang dong limbei ni tak ada bekas yang dilaluinya
buah pertama; bungaran,limbuah,limbuwah,Noun,limbuah ni banggal-banggal do buah yang pertama besar-besar
duri daun rotan,limbur,limbur,Noun,limbur bani ujung ni bulung hotang duri daun rotan yang terdapat di ujung
mudah goyang karena dangkal di- pancangkan,limitlimit,limitlimit,Adjective,hayu ai limit kayu itu mudah goyang karena dangkal dipancangkan
bercakap; ipalimlim v dicakapi,limlim,limlim,Verb,halani magigi ia ipalimlim karena ia benci ia tidak dicakapi
limpa,limpa,lippa,Noun,
sudah jauh,limpot,lippOt,Adverb,domma limpot tading sudah jauh ketinggalan
ulat yang hidup dalam air,limuglimug,limuglimug,Noun,
dalam,limun,limun,Adjective,pambotohni limun penge- tahuannya dalam
basah kuyup; marlimur	v	basah	kuyup,limur,limur,Adjective,hanami marlimur do hujuma kami basah kuyup dari ladang
berseri (wajah),linang,linaG,Verb,bercahaya; manis;
pecah,linat,lina:t,Verb,anak dayok aima linat anak ayam itu pecah
teduh; marlindung		v	berteduh; bernaung,lindung,linduG,Verb,anggo roh udan marlindung do sidea i sopo ai jika	datang	hujan		mereka berlindung di pondok itu;
v belut,lindung,linduG,Sipispis,
kembar; sama rupanya,lindut,lindut,Noun,niombahni dong do na lindut anaknya ada yang kembar
tidak ber- sesak-sesak,linggar,liGgar,Adverb,halak ai linggar ibagas motor orang itu tidak bersesak-sesak di dalam motor
nama sejenis burung,linggarei,liGgarey,Noun,
bernaung,linggoh,liGgOh,Verb,anggo roh udan linggoh do sidea i sopo ai jika datang hujan mereka berlindung di pondok itu
teduh,linggom,liGgOm,Adjective,
kelelawar,lingkaboh,liGkabOh,Noun,lingkaboh ai habang hu rumah kelelawar itu terbang ke rumah
bulan ,lingkar,liGkar,Noun,pas bani bulan lingkar laho ma sidea manohu tulang ni tepat pada bulan 12 mereka pergi mengunjungi pamannya
cepat,lingkat,liGkat,Adjective,amboru ai lingkat mardalan anak perempuan itu berjalan cepat
anak panah,lingkit,likkit,Noun,
gembung,lining,liniG,Adjective,boltokni lining tumang perutnya gembung betul
penuh,linir,linir,Adjective,ember ai linir marisi bah ember itu penuh berisi air
kilat; berkilat; mengkilap; bercahaya,linou,linOw,Adjective,omas ai linou songon kasa emas itu berkilat seperti kaca
bertukar; marlinsei v bertukar,linsei,lissey,Verb,gurama ai marlinsei tintin pemuda itu bertukar cincin
yang sudah buruk; bekas,linsuran,lissuran,Noun,hiou ni ai domma linsuran kainnya itu sudah buruk
titik hujan jatuh dari daun,lintagtag,lintagtag,Noun,lintagtag madabuh humbani bulung ni hawei titik hujan jatuh dari daun keladi
lintah,lintah,lintah,Noun,rentenir
melintas,lintas,lintas,Verb,mosai ai lintas hum hobon tikus itu melintas dari tempat padi
keruh,lintok,lintOk,Adjective,bah na lintok air yang keruh
utas; seutas,lintor,lintOr,Noun,ganjang tali ai lintor panjang tali itu seutas
lari,lintun,littun,Verb,
lihat,lior,liyOr,Verb,
keliling,liot,liyOt,Verb,
sejenis binatang kecil,liotliot,liyOtliyOt,Noun,rongit aima binatang liotliot nyamuk  adalah binatang kecil
terlampau,liou,liOw,Verb,
pukul,lipat,lipat,Verb,
lipat,liplip,liplip,Verb,
lancip; tirus; meruncing,lipur,lipur,Adjective,tandukni horbou lipur tanduk kerbau lancip
jauh sekali,liput,liput,Adjective,hutani liput tumang kampungnya jauh sekali
telur kutu,lisa,lisa,Noun,lisani baliang ai bahat tumang telur kutu anjing itu banyak sekali
bijak,lisak,lisak,Adjective,manuk-manuk ai lisak tumang burung itu bi jak sekali
 jepit;  himpit;  lindas,lisat,lisat,Verb,ia lisat i labah dia terjepit di pintu;
licin,lising,lisiG,Adjective,dalan ai lising anggo roh udan jalan itu licin kalau hujan turun
lurus,listor,listOr,Adjective,buluh ai listor tumang bambu itu lurus betul
basah,litap,litap,Adjective,hiouni litap hona udan kainnya basah kena hujan
kusut,litur,litur,Adjective,bajuni litur alani lang igosok  bajunya kusut karena tak digosok
air liur,liur,liyur,Noun,liur ni madekdek air liurnya meleleh
keliling,liut,liyut,Noun,liutni huta ai ipagar sekeliling kampung itu di pagar
nama sejenis kayu,loba,lOba,Noun,
lebah,lobah,lObah,Noun,manisan lobah matai manisan lebah enak
lobak,lobak,lObak,Noun,i juma nami bahat isuan lobak di ladang kami banyak di tanam lobak
biawak,lobar,lObar,Noun,lobar manjulur biawak menjalar
"dahulu, masa lampau",lobei,lObEy,Adverb,yang mula-mula; manglobeihon	v mendahulukan;
lebih,lobih,lObih,Adjective,lewat dari semestinya
rendah,loblob,lOblOb,Adjective,rumah ni sidea roh loblob ni rumah mereka tambah rendah
lubang,lobong,lObOG,Noun,ia madabuh nubagas lobong ia jatuh kedalam lubang; parlobong n tugal
n kandang babi,lobu,lObu,Toba,lobu ni sidea dong i juma kandang babi mereka ada di ladang
lebur,lobur,lObur,Verb,bosi ai lobur
saduran,logam,lOgam,Verb,lape siap logam tintin mai belum siap saduran cincin itu
semacam kumbuh,loging,lOgiG,Noun,
kemarau,logo,logo,Adjective,ulang martidah anggo logo ari janganlah menabur padi kalau musim kemarau
angin,logou,logow,Noun,hawa; udara;
rekat; melekat,lohat,lOhat,Verb,lang taragu topung halani lohat ni tidak tercampur lagi tepung ini karena merekat
lapar,lohei,lOhEy,Adjective,
lelah; letih; penat,loja,lOja,Adjective,ia loja marlintun ia lelah berlari; halojaan n kelelahan; perihal lelah;
persegi panjang,lojang,lOjaG,Noun,bulung ni buluh ai lojang daun bambu itu persegi panjang
nyenyak,lojei,lOjEy,Adjective,ia modom lojei nantuari dia tidur nyenyak semalam
culah,lojong,lOjOG,Noun,
depan,lojo,lOjO,Noun,muka;
lembek,loju,lOju,Adjective,indahan ai loju tumang nasi itu lembek seperti bubur
"enak; sedap, lezat (tentang rasa); nikmat, me- muaskan",lokut,lOkut,Adjective,daini sipanganon nai lokut tumang rasa makan itu nikmat sekali
halangan,lolah,lOlah,Noun,"anggo lang dong lolah, roh do au holi kalau tak ada halangan aku datang nanti"
lalai,lolei,lOlEy,Adjective,lolei dot tong bani horjani dia selalu lalai dalam pekerjaannya
lupa,lolos,lOlOs,Verb,1 tidak teringat;
lemang,lomang,lomaG,Noun,
ditolakkan,lomban,lOmban,Verb,holi da masarsar soban in anggo lomban ho nanti ber- serak kayu itu kalau kau tolak dari sini
jurang,lombang,lOmbaG,Noun,"pb lombang naso hagokan jurang tidak terpenuhi walau sudah banyak, masih merasa kurang; ki lombang hamagouan berbuat dosa"
lembu,lombu,lOmbu,Noun,sapi
alasan,lompa,lOppa,Noun,"anggo jolma na gutul bahat do lompa ase unang ilogai kalau orang nakal,banyak sekali alasannya supaya jangan dimarahi"
 sayur;  lauk,lompah,lOppah,Noun,indahan pakon lompah  nasi dan lauk;
lipat,lompit,loppit,Verb,
hancur luluh,lompur,lOmpur,Adjective,lompur dassa  uhurku mangidah parlahou min hancur hatiku melihat kelakuanmu
jinak,lomuk,lOmuk,Adjective,domma jinak aili ai babi hutan itu sudah jinak
jinak,lonap,lOnap,Adjective,lonap do horbouta si banggalan kerbau kita yang paling besar jinak
mata,londar,lOndar,Noun,maborit londarku mangidah mataniari mataku sakit melihat matahari
memijak-mijak rumput agar dapat dilalui,londas,lOdas,Verb,
lenting,londut,lOndut,Adjective,
biar,longa,loGa,Adverb,patar mambuat longa ma huja i juma besok mengambil biarlah kita ke ladang
sejenis gelang untuk anak-anak,longadei,lOngadEy,Noun,
tempat untuk menjemur tembakau,longadei,lOngadEy,Noun,
dungu,longah,lOGah,Adjective,bodoh
bisu,longah,lOGah,Adjective,
"heran, bengong",longang,loGaG,Adjective,tercengang; takjub
waktu senggang longgam	[loGgam]	a	berpahit hitam,longgak,lOGgak,Noun,badanni pe longgam
berlipat ganda,longgi,lOGgi,Verb,longgi do pandapotan nami taun on penghasilan kami berlipat ganda pada tahun ini
lama sekali,longgou,lOGgow,Adjective,mase sonari longgou hamu roh? mengapa kamu datang lama sekali
petir,longgur,lOGgur,Noun,
nama kampung yang terdapat di Kecamatan Raya,longkung,lOGkuG,Noun,
melekat,longkot,lOkkOt,Verb,
areal ladang yang telah dicangkul atau dikerjakan lonjan  [lOnjan]  a  banyak,lonih,lOnih,Noun,sonari
terban jadi jurang,lonsoh,lonsoh,Verb,lonsoh juma tai ibaen udan sudah terban ladang kita karena hujan
lontar,lontar,lontar,Verb,
 melintasi; melewati,lontas,lontas,Verb,lontas garama ai
bodoh,lontong,lontoG,Adjective,dungu
bebal,lontong,lontoG,Adjective,surung do lontong mu songon kebodohanmu itu keterlaluan
lontong lopah [lopah] adv sebelah lopak [lOpak] n putih,lontong,lontoG,Noun,
izin,lopas,lOpas,Noun,
susun dengan me- nimpa,lopik,lOpi?,Verb,
 tempat ber- musyawarah,lopou,lOpOw,Noun,
lewat; melintas,lopus,lOpus,Verb,domma lopus ia hu juma dia sudah melintas di ladang
nama sejenis kayu,losa,lOsa,Noun,
pecah,losah,lOsah,Adjective,domma losah jagul idudai jagung itu sudah pecah ditumbuk
terjepit,losat,lOsat,Verb,"ulang marguro-guro i labah, holi losat jangan bermain-main di pintu nanti terjepit"
selesai,losei,lOsEy,Verb,"anggo domma losei, mulak ma! kalau sudah selesai, pulanglah!"
bosan,losog,lOsOg,Adjective,ulang ura tu losog marlajar! janganlah mudah bosan belajar!
terjerumus ke dalam lubang (tentang kaki),losop,lOsOp,Verb,"asok-asok ho holi losop naheimu! pelan-pelan saja, nanti kakimu terperosok!"
basuh,losou,lOsOw,Verb,
lesung,losung,losuG,Noun,
banyak,lota,lOta,Adjective,lota ihan i sabah banyak ikan di sawah
domma lotih iahap ham manduda omei ai? kamu sudah letih menumbuk  padi itu?,lotih,lOtih,Adjective,
korek api,loting,lOtiG,Noun,
senja buta; gelap gulita,lotir,lOtir,Adjective,"mabiar au hudarat ai, domma lotir aku takut keluar, sudah gelap gulita"
keruh,lotok,lOtO?,Adjective,
jelatang,lotong,lOtoG,Noun,
bunyi semak atau rumput yang terbakar,lotup,lOtup,Noun,
 sayur-mayur,lowoh,lowoh,Noun,"marlowoh v menyayur, me- masak sayur"
boros,loyar,lOyar,Adjective,
buah tangan; oleh- oleh,luah,luwah,Noun,inang mamboan luah hun tiga ibu membawa oleh-oleh dari pasar
lepas,luah,luwah,Verb,"1 lolos dari kandang	(kurungan,"
hulu,luan,luwan,Noun,ia maridi i luan ia mandi di hulu
lapang,luap,luwap,Adjective,
luar,luar,luwar,Noun,ia hu luar hongkan ia tadi keluar
mengeluarkan getah,luaran,luwaran,Verb,
bocor,luas,luwas,Adjective,tayub rumah nami luas atap rumah kami bocor
benci,luat,luwat,Adjective,iluat v dibeci; maluat v membenci
lubang,lubang,lubaG,Noun,madabuh huting hu lubang ai kucing jatuh ke lubang
irama; dendang; marlubuk v berirama,lubuk,lubuk,Verb,si Ani marlubuk i alaman si Ani berdendang di halaman
gempar; ribut,luetu,luetu,Verb,"luetu dassa hanima seng, tarhata ribut saja kalian, tidak terlarang lagi"
recok,luetu,luwetu,Adjective,"luetu dassa hanima seng tarhata recok saja kalian, tidak terlarang lagi"
kayuh,luga,luga,Noun,
lumpur,lugut,lugut,Verb,
luka,luha,luha,Noun,naheini luha kona piso kakinya luka kena pisau
rusak,luhou,luhow,Adjective,"sudah tidak sempurna (baik, utuh) lagi"
jurang,luhung,luhuG,Noun,motor ai madabuh hu luhung motor itu jatuh ke jurang
terberita,luhur,luhur,Verb,ia domma luhur ihuta ai dia sudah terberita di kampung itu
berkumpul,luhut,luhut,Verb,mantuari luhut do inang gereja pokan kawanni semalam ibu berkumpul di gereja bersama kawannya
tumpukan,luhutan,luhutan,Noun,luhutan ni omei tumpukan padi lujub   [lujub]   v   terbaring: inang
lukis,lukis,lukis,Verb,
bagian rumah yang dijadikan tempat untuk tamu yang dihormati,luluan,luluwan,Noun,
diang,lulus,lulus,Verb,memanaskan dengan api; inang manlulusi bulung i tataring ibu mendiangkan daun di atas perapian; manlulus v mendiangkan;
giling halus; ilumat v digiling halus,lumat,lumat,Verb,lisina ai ilumat cabai itu digiling halus
nasihat,lumba,lumba,Noun,ilumba v dinasihati; malumba v menasihati; palumba n nasihatkan;
 longgar;  lapang,lumbang,lumbaG,Adjective,rumahni tulang lumbang alani banggal ni rumah paman lapang karena besarnya;
kosong  tidak berisi,lumei,lumey,Adjective,cuni ai lumei  sonari goni itu kosong sekarang;
buih,lumoh,lumoh,Noun,"gelembung- gelembung kecil pada permukaan barang cair (seperti pada air, sabun, dan sebagai- nya);"
lompat; loncat; manlumpat v melompat,lumpat,lumpat,Verb,here malo do marlumpat i harangan kera itu pandai melompat di hutan;
banyak sekali,lunak,lunak,Adverb,omeini lunak tumang padinya banyak sekali
"biji buah yang dapat dimakan, misalnya biji buah nangka, cempedak, durian, dan lain-lain",lunci,lunci,Noun,
tidak sama disayangi,lundagi,lundagi,Adverb,"anggo inang padohon gatir do anak ni lang lundagi kalau ibu tiri, sering tidak sama rasa sayangnya terhadap anak-anaknya"
bulu landak,lundu,lundu,Noun,
kosong,lungam,luGam,Adjective,domma lungam tas ni ai sudah kosong tasnya itu
